question,reference_answer,generated_answer,bleu1,rougeL
Which autophagy pathway is trigered by the KFERQ motif of cytosolic proteins?,"Cytosolic proteins carrying the KFERQ motif (a specific lysosomal import consensus sequence) are directed to a selective form of lysosomal degradation, called chaperone-mediated autophagy (CMA), as chaperone protein Hsc73 and other chaperones are involved in this process.",Thetosolic proteins are the KFERQ motif areK motif motifysosomal motif factor motif) are involved to the specific aut of theysosomal transcription. which autaperone-mediated autophagy.CIP) which wellaperone- (21. H cytaperone. required in the process.,0.36193496721438384,0.3013698630136986
Is Enlimomab effective for stroke treatment?,No. Anti-ICAM therapy with enlimomab is not an effective treatment for ischemic stroke in and may significantly worsen stroke outcome.,"Yes, En-inflammatoryD is is Enlimomab is not effective effective treatment for strokechemic stroke. patients of be reduce stroke risk.",0.4090909090909091,0.3902439024390244
What is BioASQ?,"BIOASQ assesses the ability of systems to semantically index very large numbers of biomedical scientific articles, and to return concise and user-understandable answers to given natural language questions by combining information from biomedical articles and ontologies. ",BioASASQ ises the functional of a to identifyantically and and large datasets of genes molecules data. including to identify a and accurate-friendlystoodable results to questions questions questions queries. using them from the literature with otherology.,0.3421052631578948,0.273972602739726
What is another name for the plant Sideritis scardica?,Sideritis scardica is also known as ironwort or mountain tea.,Sideritis scardica is a known as the-ort. iron sc.,0.5454545454545454,0.5
Which protein is found to be mutated in Friedreich's ataxia?,"It is generally accepted that Friedreich's ataxia (FRDA) is caused by a deficiency in frataxin expression, a mitochondrial protein involved in iron homeostasis, which mainly affects the brain, dorsal root ganglia of the spinal cord, heart and in certain cases the pancreas","F is found thought that thereich's ataxia isFA) is a by a mutation of theanrinin-. which protein protein that in the metabolismostasis, and is affects the iron. and nervous,lia, the eye cord, and, lungs the tissues, spinalreas.",0.4897959183673469,0.3658536585365854
Where does REGN5458 bind to?,The bispecific antibody REGN5458 binds to B-cell maturation antigen (BCMA) and CD3.,RE REpecific RE REGN5458 binds to the-cell-RN factor (BA) isMA-,0.32450032627975206,0.32
What is the Shelterin complex?,"Human telomeres are associated with the shelterin complex which consists of six telomere-associated proteins that specifically bind to telomeric DNA. Alterations or removal of individual shelterin components would lead to telomere uncapping and telomere dysfunction, resulting in cellular senescence and transformation to a malignant state.",S Shelteromerre are involved with the Shelterin complex. is of a nucleomeres-binding proteins: are bind to theomease elements.ations in delet of tel telin proteins are be to aomerres-or and telomerre-. which in a deathescence. cell. tel telignant cell.,0.3320366241026409,0.3218390804597701
What cellular process is the protein clathrin involved in?,Clathrin is a central regulator of endocytosis in all eukaryotes that plays a role in bacterial and plastid differentiation,Theathrin is a protein protein of theopltosis and the cellukaryotes. is a critical in the cell cellularasmidogenesis.,0.3157894736842105,0.27777777777777773
Please list the 2 vaccines for herpes zoster(shingles),live attenuated zoster vaccine (Zostavax®) and live attenuates herpes zoster (Shingles) are effective for treatment of infections with herpesZoster(shingles).,The-uated herpesoster( (Vosteravax)) is z attenuated z zoster (shingles) vaccine the for the of herpes with herpes zoster (shingles).,0.5714285714285714,0.35
Is Adamts18 deficiency associated with cancer?,Yes. ADAMTS18 is a novel tumor suppressor and is critical to the pathology of human colorectal cancer. Adamts18 deficiency enhances tumorigenesis and intestinal inflammation through elevated Wnt/β-catenin and p38MAPK/ERK1/2 signaling and promotes colon cancer in this mouse model.,"Yes, AdamTTS18 deficiency a deficiency, suppressor that is associated for the survival of cancer cancerorectal cancer.ts18 deficiency is the growthesis and tumor cancer. the levelsnt1W-cellenin levels Wk/s.PK//2/. is tumor cancer. patients population model.",0.3897479716965202,0.3037974683544304
What is known about the effectiveness of electronic food diaries ?,"Electronic dietary records were better than food diaries in terms of fat percentage reduction in our trials, indicating that teledietetics increases healthy-eating awareness.",Eronic food di are developed than conventional diaries in the of their loss and and the study. and that electronicomerucic and the weightweight habits and,0.2692307692307693,0.20408163265306126
What is IDD in relation to organ transplantation?,Imminent death donation (IDD) has been proposed as a separate category of organ donation: distinct from living donation and donation after cardiac death,Idplant organ of isIDD) is been proposed as a new mechanism of organ transplant that organ organ organ organ ( transplant. transplant transplant.,0.30769230769230765,0.2666666666666666
What is the principle of ATAC (Assay for Transposase-Accessible Chromatin) technique?,"ATAC-seq (Assay for Transposase-Accessible Chromatin) is an assay for transposase-accessible chromatin using sequencing, based on direct in vitro transposition of sequencing adaptors into native chromatin. ATAC is a rapid and sensitive method for integrative epigenomic analysis. ATAC-seq captures open chromatin sites using a simple two-step protocol with 500-50,000 cells and reveals the interplay between genomic locations of open chromatin, DNA-binding proteins, individual nucleosomes and chromatin compaction at nucleotide resolution.","ATAC (based isAssay for Transposase-Accessible Chromatin) is a automated for transposase-access chromatin ( a and sequencing on the sequencing situ sequencingpos of the sequencesors. the chromatin.AC- a method, efficient method for therative chrometic analysis ofAC isseq is the chromatin in in a single,-step sequencing, a-kb-000, per a the structureplay between the regions. the chromatin and and,binding regions, and chromotideomes, chromatin.artments sites theos-. AT",0.45454545454545453,0.380952380952381
