question,reference_answer,generated_answer,bleu1,rougeL
Which autophagy pathway is trigered by the KFERQ motif of cytosolic proteins?,"Cytosolic proteins carrying the KFERQ motif (a specific lysosomal import consensus sequence) are directed to a selective form of lysosomal degradation, called chaperone-mediated autophagy (CMA), as chaperone protein Hsc73 and other chaperones are involved in this process.",Thetosolic proteins are the KFERQ motif areK key motifysosomal protein protein motif) are involved to the specific transcription of cytysosomal transcription. which autondone-dependent autophagy.CIP). which wellaperone- (3.. H cytaperone. required in the process.,0.3853784446591618,0.273972602739726
Is Enlimomab effective for stroke treatment?,No. Anti-ICAM therapy with enlimomab is not an effective treatment for ischemic stroke in and may significantly worsen stroke outcome.,Thetosolic protein are the KFERQ motif areK key proteinysosomal protein protein motif) are involved to the specific aut of theysosomal transcription. which autondone-mediated autophagy.COP). which wellaperone- (31. H cytaperone. required in the process.,0.07317073170731705,0.03571428571428571
What is BioASQ?,"BIOASQ assesses the ability of systems to semantically index very large numbers of biomedical scientific articles, and to return concise and user-understandable answers to given natural language questions by combining information from biomedical articles and ontologies. ",Yes. En-inflammatoryD therapy is Enlimomab did not effective effective treatment for strokechemic stroke. patients of not reduce stroke risk.,0.04392955283543867,0.03508771929824561
What is another name for the plant Sideritis scardica?,Sideritis scardica is also known as ironwort or mountain tea.,Yes. En-inflammatoryD therapy is Enlimomab did not effective effective treatment for strokechemic stroke. patients of not reduce stroke risk.,0.0909090909090909,0.06666666666666667
Which protein is found to be mutated in Friedreich's ataxia?,"It is generally accepted that Friedreich's ataxia (FRDA) is caused by a deficiency in frataxin expression, a mitochondrial protein involved in iron homeostasis, which mainly affects the brain, dorsal root ganglia of the spinal cord, heart and in certain cases the pancreas","F is found thought that thereich's ataxia isFA) is a by a protein of theaternalricin.. which protein protein that in the metabolismostasis. and is affects the iron. and and andlia, the central cord, and, spinal the tissues, spinalreas.",0.510094886110021,0.3658536585365854
Where does REGN5458 bind to?,The bispecific antibody REGN5458 binds to B-cell maturation antigen (BCMA) and CD3.,"F is found thought that thereich's ataxia isFA) is caused by a mutation in theaternalrinin (. which protein protein that in the metabolismostasis. and is affects the immune. and and andlia, the thor cord, and, lungs the tissues, spinalreas.",0.08163265306122448,0.07692307692307693
What is the Shelterin complex?,"Human telomeres are associated with the shelterin complex which consists of six telomere-associated proteins that specifically bind to telomeric DNA. Alterations or removal of individual shelterin components would lead to telomere uncapping and telomere dysfunction, resulting in cellular senescence and transformation to a malignant state.",RE REpecific RE REGN5458 binds to thepcell.RN. (BA) BMA.,0.015628724229055594,0.03571428571428571
What cellular process is the protein clathrin involved in?,Clathrin is a central regulator of endocytosis in all eukaryotes that plays a role in bacterial and plastid differentiation,RE REpecific RE REGN5458 binds to the-cell-RN protein (BA) isMA.,0.0,0.0
Please list the 2 vaccines for herpes zoster(shingles),live attenuated zoster vaccine (Zostavax®) and live attenuates herpes zoster (Shingles) are effective for treatment of infections with herpesZoster(shingles).,The-uated herpesoster( (HZ)ax)) is H attenuated z zoster vaccinesZles) vaccine the vaccines the of herpes with herpes zoster virusshingles).,0.4642857142857143,0.24390243902439024
Is Adamts18 deficiency associated with cancer?,Yes. ADAMTS18 is a novel tumor suppressor and is critical to the pathology of human colorectal cancer. Adamts18 deficiency enhances tumorigenesis and intestinal inflammation through elevated Wnt/β-catenin and p38MAPK/ERK1/2 signaling and promotes colon cancer in this mouse model.,The-uated herpesoster( (Vosteravax)) is z attenuated herpes zoster virusshingles) vaccine the vaccines the of herpes with herpes zoster virusshingles).,0.08640365906109933,0.09836065573770492
